[INFO]: Creating Start Scene in: StartScene.cpp on line: 16
[INFO]: Creating Game Scene in: GameScene.cpp on line: 29
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
[INFO]: One object outside frustum in: Renderer.cpp on line: 226
